Država;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: VLADIMIR PAVLETIÆ                                        ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;ALIJANSA ZA PRAVNU DRŽAVU - ALIJANSA, Nositelj liste: dr.sc. JURAJ PLENKOVIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;DOMOVINSKA GRAÐANSKA STRANKA - DGS, Nositelj liste: DAMIR BAKSA;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: TADIJA LJUBIÈIÆ                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: IVAN VUKOJA                                      ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ŠIME TOLIÆ;NEOVISNA LISTA, Nositelj liste: ANDJELKO GALIÆ                                ;NEOVISNA LISTA, Nositelj liste: JERKO IVANKOVIÆ LIJANOVIÆ                               ;STRANKA HRVATSKIH BRANITELJA - SHB, Nositelj liste: DOMAGOJ MARGETIÆ                    ;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;75;2016;820;820;818;2;0;1;0;4;0;3;648;0;114;1;0;46;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;76;2878;1095;1095;1093;2;0;0;1;0;0;1;1018;5;60;0;0;6;2;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;77;2762;1171;1171;1164;7;4;1;2;3;0;0;1095;0;47;0;0;12;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;78;2383;862;862;859;3;1;0;0;1;0;2;810;3;34;0;0;6;2;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;79;1280;685;685;679;6;0;1;0;2;1;0;619;2;21;0;0;33;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;80;1426;811;810;808;2;2;2;0;1;0;0;747;0;0;18;0;38;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;81;883;491;491;488;3;0;0;0;0;0;1;422;0;19;0;0;45;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;82;1214;539;539;538;1;2;1;0;0;0;4;497;3;28;0;1;2;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;83;1395;447;446;441;5;0;0;0;0;0;0;411;0;23;0;7;0;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;84;1979;764;764;760;4;3;0;0;4;0;0;704;0;40;1;0;8;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;85;676;274;274;274;0;0;0;0;2;0;0;204;1;34;0;0;33;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;86;692;245;245;243;2;0;0;0;2;0;0;203;1;15;0;0;22;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;87;2260;637;636;632;4;1;2;0;3;1;1;505;2;97;0;3;11;6;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;88;2061;546;546;540;6;0;2;0;1;1;2;449;4;75;0;0;5;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;89;1874;495;495;491;4;0;3;0;4;0;2;370;0;82;0;4;23;3;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;90;655;343;343;340;3;2;0;0;4;0;1;303;1;25;0;1;2;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;91;676;311;310;310;0;0;0;0;0;0;2;289;1;15;1;1;1;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;92;3314;180;180;176;4;2;22;2;23;0;0;90;8;2;0;5;21;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;93;3153;154;154;143;11;1;12;3;16;0;3;71;2;4;0;6;25;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;94;1871;500;500;500;0;1;4;0;0;0;1;463;1;20;0;4;6;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;95;2132;593;593;586;7;0;2;0;1;0;0;556;1;9;2;3;11;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;96;1862;501;501;494;7;2;1;1;5;1;1;451;2;11;2;1;13;3;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;97;876;54;54;54;0;0;6;1;4;0;0;26;1;1;0;2;13;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;98;1501;329;329;328;1;3;13;2;17;1;3;137;2;5;1;0;141;3;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;99;1247;309;309;308;1;0;5;0;7;1;3;172;3;9;0;1;106;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;100;1428;320;320;315;5;1;10;0;7;0;0;159;1;0;0;2;133;2;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;101;4137;24;24;24;0;0;2;1;0;0;0;11;1;0;0;0;7;2;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;102;422;102;102;101;1;0;0;0;0;0;0;84;0;15;0;0;1;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;103;755;245;245;243;2;2;7;4;5;0;0;78;1;5;0;1;139;1;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;104;700;243;243;241;2;1;4;1;8;0;0;81;0;1;0;0;145;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;105;830;360;360;360;0;0;2;2;5;1;2;327;0;5;0;1;15;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;106;746;288;288;288;0;1;5;1;12;2;3;221;5;2;0;1;33;2;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;107;572;52;52;52;0;0;1;2;2;0;0;29;1;2;0;0;15;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;108;2885;479;479;473;6;0;15;2;5;0;7;347;10;7;1;1;75;3;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;109;3569;646;646;636;10;1;27;4;19;0;4;462;10;17;1;0;85;6;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;110;4012;699;699;690;9;2;20;0;20;6;6;531;8;9;3;3;80;2;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;111;2453;422;422;419;3;3;18;7;15;2;4;280;15;5;0;0;67;3;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;112;5127;601;601;589;12;1;13;2;11;1;1;476;4;9;0;3;68;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;113;2468;536;536;528;8;1;2;0;4;0;2;475;2;15;0;0;24;3;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;114;4453;827;827;813;14;2;4;2;8;0;3;742;2;14;0;0;33;3;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;115;4110;848;848;842;6;4;3;1;4;0;2;783;4;12;1;2;26;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;116;1237;80;80;80;0;0;2;0;0;0;0;58;0;1;0;0;19;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA;117;1383;286;286;285;1;0;0;1;0;0;0;215;2;2;0;0;65;0;;;;;;;;;;;;;;
