Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: VLADIMIR BILEK, Predlagatelj: , SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU ;Kandidat: mr.sc. ZDENKA ÈUHNIL, Predlagatelj: , ÈEŠKA BESEDA KONÈANICA , MATICA SLOVAÈKA JOSIPOVAC , ÈEŠKA BESEDA SISAK  ;Kandidat: dr.sc. IVAN DANJEK, dipl.ing. agr., Predlagatelj: NEOVISNI KANDIDAT  ;Kandidat: IVAN KOMAK, Predlagatelj: SAVEZ SLOVAKA - ZVAZ SLOVAKOV - SSL-ZSL;Kandidat: JAROSLAV VOJTA, mag.prava, Predlagatelj: NEOVISNI KANDIDAT 
XII. IZBORNA JEDINICA;6;NOVSKA;20;10;4;4;4;0;3;1;0;0;0
XII. IZBORNA JEDINICA;6;PETRINJA;35;5;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;SISAK;70;64;38;37;37;0;8;25;1;0;3
XII. IZBORNA JEDINICA;6;VELIKA GORICA;68;27;12;12;12;0;7;2;1;1;1
XII. IZBORNA JEDINICA;6;ZAGREB-JUGOISTOK;96;64;25;25;24;1;14;6;1;1;2
XII. IZBORNA JEDINICA;6;DONJI KUKURUZARI;5;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;DVOR;12;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;GVOZD;7;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;HRVATSKA DUBICA;6;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;JASENOVAC;10;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;KLOŠTAR IVANIÆ;13;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;KRAVARSKO;10;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;KRIŽ;19;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;LEKENIK;16;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;LIPOVLJANI;6;72;27;27;27;0;12;11;0;4;0
XII. IZBORNA JEDINICA;6;MAJUR;8;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;MARTINSKA VES;17;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;6;ORLE;6;0;0;0;0;0;0;0;0;0;0
