Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;FURIO RADIN
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;013;BJELOVAR;"MO ""A.G.MATOŠ""";JANKA DRAŠKOVIÆA 1B;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;014;BJELOVAR;DJEÈJI VRTIÆ BJELOVAR;TRG ANTUNA GUSTAVA MATOŠA 8A;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;015;BJELOVAR;"MO ""STJEPAN RADIÆ""";ANDRIJE MOHOROVIÈIÆA 59;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;016;BJELOVAR;IV OSNOVNA ŠKOLA II;POLJANA DR. FRANJE TUÐMANA 1;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;017;BJELOVAR;MEDICINSKA ŠKOLA;POLJANA DR. FRANJE TUÐMANA 8;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;018;BJELOVAR;UGOSTITELJSKA ŠKOLA;POLJANA DR. FRANJE TUÐMANA 10;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;019;BJELOVAR;"MO ""BAN J. JELAÈIÆ""";RADNIÈKO NASELJE PRILAZ II KBR. 3;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;020;BJELOVAR;DOM U HRGOVLJANIMA;MIROSLAVA KRLEŽE 187;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;021;BJELOVAR;DOM U VELIKIM SREDICAMA;VELIKE SREDICE 100;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;022;BJELOVAR;DOM NA KRIŽEVAÈKOJ CESTI;KRIŽEVAÈKA CESTA 3A;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;023;BJELOVAR;ŠKOLA U NOVIM PLAVNICAMA;NOVE PLAVNICE 6;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;024;BREZA;DOM U BREZI;BREZA 61;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;025;BREZOVAC;VATROGASNI DOM U BREZOVCU;GAREŠNIÈKA 61;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;026;CIGLENA;DOM U CIGLENI;CIGLENA 13;0;0;0;0;0;0
012;XII. IZBORNA JEDINICA;7;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;BJELOVAR;027;GALOVAC;VATROGASNI DOM U GALOVCU;GALOVAC 85A;0;0;0;0;0;0
