date,ZZ,SKORO,GL,Pametno,SDP,HNS,HDZ,HSLS,Most,BM365
2017-08-02,7.77,,,1.47,25.13,2.24,37.36,,7.8,3.59
2017-08-03,7.76,,,1.44,25.13,2.24,37.36,,7.83,3.55
2017-08-04,7.75,,,1.41,25.13,2.24,37.37,,7.87,3.51
2017-08-05,7.75,,,1.38,25.13,2.24,37.37,,7.9,3.46
2017-08-06,7.74,,,1.36,25.13,2.24,37.38,,7.94,3.42
2017-08-07,7.74,,,1.36,25.13,2.21,37.36,,7.94,3.44
2017-08-08,7.74,,,1.37,25.14,2.18,37.35,,7.93,3.46
2017-08-09,7.74,,,1.38,25.15,2.14,37.34,,7.93,3.48
2017-08-10,7.74,,,1.39,25.15,2.11,37.33,,7.93,3.51
2017-08-11,7.74,,,1.4,25.16,2.08,37.32,,7.93,3.53
2017-08-12,7.74,,,1.41,25.16,2.04,37.31,,7.92,3.55
2017-08-13,7.74,,,1.42,25.17,2.01,37.29,,7.92,3.57
2017-08-14,7.74,,,1.43,25.18,1.98,37.28,,7.92,3.59
2017-08-15,7.74,,,1.44,25.18,1.94,37.27,,7.92,3.62
2017-08-16,7.74,,,1.45,25.19,1.91,37.26,,7.91,3.64
2017-08-17,7.74,,,1.46,25.19,1.88,37.25,,7.91,3.66
2017-08-18,7.74,,,1.47,25.2,1.84,37.24,,7.91,3.68
2017-08-19,7.74,,,1.47,25.21,1.81,37.22,,7.91,3.7
2017-08-20,7.74,,,1.48,25.21,1.78,37.21,,7.9,3.73
2017-08-21,7.74,,,1.49,25.22,1.74,37.2,,7.9,3.75
2017-08-22,7.74,,,1.5,25.22,1.71,37.19,,7.9,3.77
2017-08-23,7.74,,,1.51,25.23,1.68,37.18,,7.89,3.79
2017-08-24,7.74,,,1.52,25.24,1.65,37.17,,7.89,3.81
2017-08-25,7.74,,,1.53,25.24,1.61,37.15,,7.89,3.84
2017-08-26,7.74,,,1.54,25.25,1.58,37.14,,7.89,3.86
2017-08-27,7.74,,,1.55,25.25,1.59,37.14,,7.92,3.79
2017-08-28,7.74,,,1.56,25.25,1.6,37.13,,7.95,3.73
2017-08-29,7.74,,,1.57,25.25,1.61,37.13,,7.97,3.67
2017-08-30,7.74,,,1.58,25.26,1.62,37.12,,8,3.61
2017-08-31,7.74,,,1.6,25.26,1.62,37.11,,8.03,3.54
2017-09-01,7.74,,,1.61,25.26,1.63,37.11,,8.06,3.48
2017-09-02,7.73,,,1.62,25.26,1.64,37.1,,8.09,3.42
2017-09-03,7.73,,,1.63,25.26,1.65,37.1,,8.12,3.36
2017-09-04,7.73,,,1.64,25.27,1.66,37.09,,8.15,3.29
2017-09-05,7.73,,,1.65,25.27,1.67,37.08,,8.18,3.23
2017-09-06,7.73,,,1.66,25.27,1.68,37.08,,8.21,3.17
2017-09-07,7.78,,,1.67,25.26,1.66,37.05,,8.21,3.19
2017-09-08,7.83,,,1.67,25.24,1.64,37.02,,8.22,3.21
2017-09-09,7.87,,,1.68,25.23,1.63,36.99,,8.23,3.23
2017-09-10,7.92,,,1.68,25.21,1.61,36.96,,8.23,3.25
2017-09-11,7.97,,,1.68,25.2,1.59,36.93,,8.24,3.28
2017-09-12,8.02,,,1.69,25.18,1.57,36.91,,8.24,3.3
2017-09-13,8.06,,,1.69,25.17,1.55,36.88,,8.25,3.32
2017-09-14,8.11,,,1.69,25.15,1.53,36.85,,8.25,3.34
2017-09-15,8.16,,,1.7,25.13,1.52,36.82,,8.26,3.36
2017-09-16,8.21,,,1.7,25.12,1.5,36.79,,8.26,3.38
2017-09-17,8.25,,,1.7,25.1,1.48,36.76,,8.27,3.41
2017-09-18,8.3,,,1.71,25.09,1.46,36.73,,8.27,3.43
2017-09-19,8.35,,,1.71,25.07,1.44,36.71,,8.28,3.45
2017-09-20,8.39,,,1.71,25.06,1.43,36.68,,8.28,3.47
2017-09-21,8.44,,,1.72,25.04,1.41,36.65,,8.29,3.49
2017-09-22,8.49,,,1.72,25.03,1.39,36.62,,8.29,3.51
2017-09-23,8.54,,,1.73,25.01,1.37,36.59,,8.3,3.53
2017-09-24,8.58,,,1.73,25,1.35,36.56,,8.3,3.56
2017-09-25,8.63,,,1.73,24.98,1.33,36.53,,8.31,3.58
2017-09-26,8.68,,,1.74,24.97,1.32,36.51,,8.31,3.6
2017-09-27,8.68,,,1.73,24.97,1.32,36.49,,8.33,3.55
2017-09-28,8.68,,,1.72,24.97,1.33,36.48,,8.34,3.51
